s,A(s) (GHz),B(s) (GHz)
0.872,0.00000014,6.64322800
0.873,0.00000014,6.65085800
0.874,0.00000013,6.65849300
0.875,0.00000013,6.66613100
0.876,0.00000012,6.67377500
0.877,0.00000012,6.68142200
0.878,0.00000011,6.68907400
0.879,0.00000011,6.69673100
0.880,0.00000010,6.70439100
0.881,0.00000010,6.71205700
0.882,0.00000010,6.71962300
0.883,0.00000009,6.72719200
0.884,0.00000009,6.73476500
0.885,0.00000009,6.74234200
0.886,0.00000008,6.74992300
0.887,0.00000008,6.75746500
0.888,0.00000008,6.76495200
0.889,0.00000008,6.77244200
0.890,0.00000007,6.77993700
0.891,0.00000007,6.78743500
0.892,0.00000007,6.79493800
0.893,0.00000007,6.80244500
0.894,0.00000006,6.80995600
0.895,0.00000006,6.81747100
0.896,0.00000006,6.82499100
0.897,0.00000006,6.83251400
0.898,0.00000005,6.84004200
0.899,0.00000005,6.84749800
0.900,0.00000005,6.85493100
0.901,0.00000005,6.86236700
0.902,0.00000005,6.86980800
0.903,0.00000005,6.87725300
0.904,0.00000004,6.88470200
0.905,0.00000004,6.89208400
0.906,0.00000004,6.89945100
0.907,0.00000004,6.90682300
0.908,0.00000004,6.91419800
0.909,0.00000004,6.92157700
0.910,0.00000004,6.92896000
0.911,0.00000004,6.93634700
0.912,0.00000003,6.94373800
0.913,0.00000003,6.95113400
0.914,0.00000003,6.95853200
0.915,0.00000003,6.96593500
0.916,0.00000003,6.97329700
0.917,0.00000003,6.98061600
0.918,0.00000003,6.98793800
0.919,0.00000003,6.99526500
0.920,0.00000003,7.00259500
0.921,0.00000002,7.00992900
0.922,0.00000002,7.01725100
0.923,0.00000002,7.02449900
0.924,0.00000002,7.03175000
0.925,0.00000002,7.03900600
0.926,0.00000002,7.04626500
0.927,0.00000002,7.05352800
0.928,0.00000002,7.06079500
0.929,0.00000002,7.06806500
0.930,0.00000002,7.07533900
0.931,0.00000002,7.08261700
0.932,0.00000002,7.08989900
0.933,0.00000002,7.09716200
0.934,0.00000002,7.10436000
0.935,0.00000001,7.11156100
0.936,0.00000001,7.11876600
0.937,0.00000001,7.12597500
0.938,0.00000001,7.13318700
0.939,0.00000001,7.14040300
0.940,0.00000001,7.14757300
0.941,0.00000001,7.15470500
0.942,0.00000001,7.16184000
0.943,0.00000001,7.16897900
0.944,0.00000001,7.17612200
0.945,0.00000001,7.18326800
0.946,0.00000001,7.19041800
0.947,0.00000001,7.19757100
0.948,0.00000001,7.20472800
0.949,0.00000001,7.21188800
0.950,0.00000001,7.21905200
0.951,0.00000001,7.22612800
0.952,0.00000001,7.23320600
0.953,0.00000001,7.24028800
0.954,0.00000001,7.24737400
0.955,0.00000001,7.25446300
0.956,0.00000001,7.26155500
0.957,0.00000001,7.26865100
0.958,0.00000001,7.27566900
0.959,0.00000001,7.28268300
0.960,0.00000001,7.28970000
0.961,0.00000001,7.29672000
0.962,0.00000001,7.30374400
0.963,0.00000001,7.31077100
0.964,0.00000001,7.31780200
0.965,0.00000001,7.32483600
0.966,0.00000000,7.33187300
0.967,0.00000000,7.33891300
0.968,0.00000000,7.34589100
0.969,0.00000000,7.35285000
0.970,0.00000000,7.35981200
0.971,0.00000000,7.36677700
0.972,0.00000000,7.37374600
0.973,0.00000000,7.38071800
0.974,0.00000000,7.38769300
0.975,0.00000000,7.39464800
0.976,0.00000000,7.40154900
0.977,0.00000000,7.40845300
0.978,0.00000000,7.41536000
0.979,0.00000000,7.42227100
0.980,0.00000000,7.42918400
0.981,0.00000000,7.43610100
0.982,0.00000000,7.44302100
0.983,0.00000000,7.44994500
0.984,0.00000000,7.45687100
0.985,0.00000000,7.46376000
0.986,0.00000000,7.47060900
0.987,0.00000000,7.47746200
0.988,0.00000000,7.48431800
0.989,0.00000000,7.49117700
0.990,0.00000000,7.49803900
0.991,0.00000000,7.50490500
0.992,0.00000000,7.51177300
0.993,0.00000000,7.51859200
0.994,0.00000000,7.52538800
0.995,0.00000000,7.53218700
0.996,0.00000000,7.53898900
0.997,0.00000000,7.54579400
0.998,0.00000000,7.55260200
0.999,0.00000000,7.55941300
1.000,0.00000000,7.56622700
